x,y
209645.54526989712,445131.0928804781
209704.75306120698,445194.1743376631
209684.98709904,445163.58153805777
209671.59330899065,445142.89685250475
209653.93016793006,445115.58308198967
209692.18300096015,445202.2907585902
209685.5173756492,445192.113947327
209691.64042331252,445173.8850497592
209665.460372131,445161.4594110015
209665.08998397947,445132.8378848836
209678.9228162534,445182.0420445821
209698.20238942228,445184.03689917247
209652.14940334804,445141.16868057253
209704.00322260967,445155.04709264677
209716.11452100708,445173.7568295065
209696.82567837398,445143.96180905186
209689.64825872667,445132.8752841728
209682.4691885122,445121.788028883
209675.29105597927,445110.70369354484
209750.92273943115,445231.97358876275
209756.37984938308,445242.74991860497
209761.98696453313,445253.8164069885
209773.68019873786,445276.8894868083
209759.68574383622,445323.67479202757
209737.41355206879,445281.59499739495
209731.68008601727,445270.65215891995
209772.56214730087,445317.40810726327
209760.43044140286,445293.8595759336
209738.84629586528,445252.6840897861
209746.16139590828,445266.63978011056
209753.47630640224,445280.5941161
209725.44888290123,445258.768274701
209766.70371431694,445305.8271885394
209753.62738620266,445312.52717383165
209748.1962762711,445302.1643234441
209742.765378884,445291.80699566077
209740.26376953462,445331.55238250823
209732.7760628684,445317.00221206044
209716.68310438129,445286.24704685604
209727.4331276267,445306.78700902435
209722.080968731,445296.56716035615
209711.22955375025,445275.83001590776
209705.77402642407,445265.40439839987
209677.29363592094,445316.98066198744
209671.43271813248,445306.3041133811
209665.57332121034,445295.62603006454
209690.0764378864,445340.2734090505
209683.50870682948,445328.3061466785
209681.13989597085,445366.46095482
209651.6529253488,445312.4665346596
209675.25008312005,445355.4347432113
209669.330355741,445344.65180093696
209663.40665072337,445333.8694770729
209657.4860196324,445323.0886253874
209660.46252575165,445357.4769014102
209654.07058409552,445346.1081325583
209647.78809067415,445334.92543524416
209641.60964237998,445323.9217024117
209635.52293225517,445313.0932477234
209645.90677861363,445302.0079065213
209607.95236164881,445335.6237837635
209620.53890908355,445356.9041523472
209636.3953557719,445383.42054268235
209650.01982366588,445380.4833075096
209632.75359882132,445350.08265243925
209620.75749001926,445329.2046908867
209627.56819090797,445368.78857976745
209644.3346974309,445370.2485977838
209638.64708471682,445360.349793984
209626.64531204238,445339.4508188276
209614.30557025806,445346.365857323
209590.08850915023,445345.3742990413
209601.19671557666,445390.2228991948
209594.47804132279,445379.4836223464
209587.87766793466,445368.9309511492
209581.3586109753,445358.51026678353
209609.67454225462,445377.51446759613
209603.65508720453,445367.64081344125
209615.68518804945,445387.3793982073
209586.02169312155,445403.36358426366
209575.02110628318,445386.1798505276
209568.39179842643,445400.9910409286
209546.62479418766,445368.3275038856
209568.82102722125,445376.5041633989
209562.63037425125,445366.8396765453
209493.10818755438,445407.9938812057
209503.63905462305,445402.2758426434
209513.37077738004,445396.43587989465
209522.8416033571,445390.74283151806
209496.61297173053,445433.6964035313
209481.78582560888,445423.9318459251
209641.13962869454,445408.71527021984
209676.62347841653,445390.6919994288
209690.85788252228,445383.39375919354
209702.73879094876,445377.34314267925
209653.0230513357,445402.6678005315
209557.5981653992,444801.1260725033
